td_location_norm,mirror_tourney_name_norm,td_location_values,td_tournament_values,mirror_tourney_name_values,seasons,season_min,season_max,editions,alias_required,name_evidence,min_pair_overlap_td_in_mirror,min_pair_overlap_mirror_in_td
nottingham,nottingham,Nottingham,Aegon Open|Nottingham Open,Nottingham,2015|2016|2017|2018|2019|2021|2022|2023|2024,2015,2024,9,False,exact_normalized_location,0.967742,0.967742
nur sultan,nur sultan,Nur-Sultan,Astana Open,Nur-Sultan,2021,2021,2021,1,False,exact_normalized_location,1.0,1.0
nurnberg,nuremberg,Nürnberg,Nürnberger Versicherungscup,Nuremberg,2013|2014|2015,2013,2015,3,True,none,1.0,1.0
nurnberg,nurnberg,Nürnberg,Nürnberger Versicherungscup,Nurnberg,2016|2017|2018|2019,2016,2019,4,False,exact_normalized_location,0.935484,0.935484
oeiras,oeiras,Oeiras,Portugal Open,Oeiras,2013|2014,2013,2014,2,False,exact_normalized_location,1.0,1.0
osaka,osaka,Osaka,HP Open|Japan Open|Japan Women's Open Tennis|Toray Pan Pacific Open Tennis Tournament,Osaka,2009|2010|2011|2012|2013|2014|2019|2023|2024,2009,2024,9,False,exact_normalized_location,1.0,1.0
ostrava,ostrava,Ostrava,Ostrava Open,Ostrava,2020|2021|2022,2020,2022,3,False,exact_normalized_location,1.0,1.0
palermo,palermo,Palermo,Internazionali Femminili di Palermo|Internazionali Femminili di Tennis di Palermo|Italiacom Open,Palermo,2007|2008|2009|2010|2011|2012|2013|2019|2020|2021|2022|2023|2024,2007,2024,13,False,exact_normalized_location,1.0,1.0
paris,paris,Paris,Open GDF Suez|Open Gaz de France,Paris,2007|2008|2009|2010|2011|2012|2013|2014,2007,2014,8,False,exact_normalized_location,1.0,1.0
paris,roland garros,Paris,French Open,Roland Garros,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2007,2024,18,True,none,0.984252,0.984252
parma,parma,Parma,Emilia-Romagna Open|Parma Ladies Open,Parma,2021|2022,2021,2022,2,False,exact_normalized_location,1.0,1.0
pattaya,pattaya,Pattaya,Pattaya Women's Open,Pattaya,2007|2008|2009|2010|2011|2012|2013|2014|2015,2007,2015,9,False,exact_normalized_location,0.967742,0.967742
ponte vedra beach,ponte vedra beach,Ponte Vedra Beach,MPS Group Championships,Ponte Vedra Beach,2009|2010,2009,2010,2,False,exact_normalized_location,1.0,1.0
portoroz,portoroz,Portoroz,Banka Koper Slovenia Open|Slovenia Open,Portoroz,2007|2008|2009|2010|2021|2022,2007,2022,6,False,exact_normalized_location,0.935484,0.935484
prague,prague,Prague,ECM Prague Open|J&T Banka Prague Open|Prague Open,Prague,2007|2008|2009|2010|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2007,2024,14,False,exact_normalized_location,0.935484,0.935484
quebec,quebec city,Quebec,Bell Challenge|Coupe Banque Nationale,Quebec City,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2007,2018,12,True,token_overlap,1.0,1.0
rabat,rabat,Rabat,Grand Prix SAR Lalla Meryem|Morocco Open,Rabat,2016|2017|2018|2019|2022|2023|2024,2016,2024,7,False,exact_normalized_location,0.967742,0.967742
rio de janeiro,rio de janeiro,Rio de Janeiro,Rio Open,Rio de Janeiro,2014|2015|2016,2014,2016,3,False,exact_normalized_location,1.0,1.0
riyadh,riyadh finals,Riyadh,WTA Finals,Riyadh Finals,2024,2024,2024,1,True,core_location,0.933333,0.933333
rogers cup,toronto,Rogers Cup,Toronto,Toronto,2007,2007,2007,1,False,exact_normalized_tournament,1.0,1.0
rome,rome,Rome,Internazionali BNL d'Italia,Rome,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2007,2024,18,False,exact_normalized_location,1.0,1.0
rouen,rouen,Rouen,Open de Rouen,Rouen,2024,2024,2024,1,False,exact_normalized_location,1.0,1.0
s hertogenbosch,s hertogenbosch,'s-Hertogenbosch,Ordina Open|Ricoh Open|Rosmalen Grass Court Championships|Topshelf Open|Unicef Open,'s Hertogenbosch|'s-Hertogenbosch|S-Hertogenbosch|s Hertogenbosch|s-Hertogenbosch,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2022|2023|2024,2007,2024,16,False,exact_normalized_location,0.935484,0.935484
san diego,san diego,San Diego,Acura Classic|Mercury Insurance Open|San Diego Open,San Diego,2007|2010|2022|2023|2024,2007,2024,5,False,exact_normalized_location,0.981818,0.981818
san jose,san jose,San Jose,Mubadala Silicon Valley Classic,San Jose,2018|2019|2021|2022,2018,2022,4,False,exact_normalized_location,1.0,1.0
seoul,seoul,Seoul,Hansol Korea Open|KDB Korea Open|Kia Korea Open|Korea Open,Seoul,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2022|2023|2024,2007,2024,16,False,exact_normalized_location,1.0,1.0
shenzhen,shenzhen,Shenzhen,Shenzhen Longgang Gemdale Open|Shenzhen Open,Shenzhen,2013|2014|2015|2016|2017|2018|2019|2020,2013,2020,8,False,exact_normalized_location,1.0,1.0
shenzhen,shenzhen finals,Shenzhen,WTA Finals,Shenzhen Finals,2019,2019,2019,1,True,core_location,1.0,1.0
singapore,singapore,Singapore,BNP Paribas WTA Finals,Singapore,2016|2017|2018,2016,2018,3,False,exact_normalized_location,1.0,1.0
singapore,wta finals,Singapore,Sony Ericsson Championships,WTA Finals,2014|2015,2014,2015,2,True,none,1.0,1.0
sofia,tournament of champions,Sofia,Garanti Koza WTA Tournament of Champions|Qatar Airways Tournament of Champions Sofia,Tournament of Champions,2012|2013|2014,2012,2014,3,True,token_subset,1.0,1.0
st petersburg,st petersburg,St. Petersburg,Ladies Trophy,St. Petersburg,2016|2017|2018|2019|2020|2021|2022,2016,2022,7,False,exact_normalized_location,0.962963,0.962963
stanford,stanford,Stanford,Bank of the West Classic,Stanford,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,2007,2017,11,False,exact_normalized_location,0.967742,0.967742
stockholm,stockholm,Stockholm,Nordea Nordic Light Open,Stockholm,2007|2008,2007,2008,2,False,exact_normalized_location,1.0,1.0
strasbourg,strasbourg,Strasbourg,Internationaux de Strasbourg,Strasbourg,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2007,2024,18,False,exact_normalized_location,0.967742,0.967742
stuttgart,stuttgart,Stuttgart,Porsche Tennis Grand Prix,Stuttgart,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024,2007,2024,17,False,exact_normalized_location,1.0,1.0
sydney,sydney,Sydney,Apai International|Medibank International|Sydney International|Sydney Tennis Classic,Sydney,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2022,2007,2022,14,False,exact_normalized_location,1.0,1.0
taipei,taipei,Taipei,Taiwan Open,Taipei,2017|2018,2017,2018,2,False,exact_normalized_location,1.0,1.0
tallinn,tallinn,Tallinn,Tallinn Open,Tallinn,2022,2022,2022,1,False,exact_normalized_location,1.0,1.0
tashkent,tashkent,Tashkent,Tashkent Open,Tashkent,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2007,2019,13,False,exact_normalized_location,0.935484,0.935484
tenerife,tenerife,Tenerife,Tenerife Ladies Open,Tenerife,2021,2021,2021,1,False,exact_normalized_location,1.0,1.0
tianjin,tianjin,Tianjin,Tianjin Open,Tianjin,2014|2015|2016|2017|2018|2019,2014,2019,6,False,exact_normalized_location,1.0,1.0
tokyo,japan open,Tokyo,AIG Japan Open Tennis Championships,Japan Open,2007|2008,2007,2008,2,True,token_subset,1.0,1.0
tokyo,japan open tokyo,Tokyo,Japan Women's Tennis Open,Japan Open Tokyo,2016,2016,2016,1,True,token_subset,1.0,1.0
tokyo,tokyo,Tokyo,Japan Women's Tennis Open|Toray Pan Pacific Open|Toray Pan Pacific Open Tennis Tournament,Tokyo,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2022|2023|2024,2007,2024,17,False,exact_normalized_location,0.925926,0.925926
toronto,toronto,Toronto,Canadian Open|Rogers Cup,Toronto,2009|2011|2013|2015|2017|2019|2022|2024,2009,2024,8,False,exact_normalized_location,1.0,1.0
vina del mar,vina del mar,Vina del Mar,Cachantun Cup,Vina Del Mar,2008,2008,2008,1,False,exact_normalized_location,1.0,1.0
warsaw,warsaw,Warsaw,J&S Cup|Poland Open|Warsaw Open,Warsaw,2007|2009|2010|2022|2023,2007,2023,5,False,exact_normalized_location,1.0,1.0
washington,washington,Washington,Citi Open,Washington,2012|2013|2014|2015|2016|2017|2018|2019|2022|2023|2024,2012,2024,11,False,exact_normalized_location,1.0,1.0
wuhan,wuhan,Wuhan,Wuhan Open,Wuhan,2014|2015|2016|2017|2018|2019|2024,2014,2024,7,False,exact_normalized_location,1.0,1.0
zhengzhou,zhengzhou,Zhengzhou,Zhengzhou Open,Zhengzhou,2019|2023,2019,2023,2,False,exact_normalized_location,0.962963,0.962963
zhuhai,zhuhai,Zhuhai,WTA Elite Trophy,Zhuhai,2015|2016|2017|2018|2019|2023,2015,2023,6,False,exact_normalized_location,1.0,1.0
zurich,zurich,Zurich,Zurich Open,Zurich,2007|2008,2007,2008,2,False,exact_normalized_location,1.0,1.0
